																																	
#id	dollRes	shadowX	shadowY	shadowSX	shadowSY	dollX	dollY	dollSX	dollSY	catchPointY	graspAngle	faceX	faceY	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
1	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/101.png	0	0	1.2	1	0	0	1	1	-280	25	50	-220	200	700	520	700	360	800														
2	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/102.png	0	0	1.2	1	0	0	1	1	-190	20	50	-150	200	700	520	700	360	800														
3	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/103.png	0	0	1.2	1	0	0	1	1	-170	20	50	-100	200	700	520	700	360	800														
4	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/104.png	0	0	1.2	1	0	0	1.3	1.3	-230	20	50	-180	200	700	520	700	360	800														
5	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/105.png	0	0	1.2	1	0	0	0.9	0.9	-250	20	50	-180	200	700	520	700	360	800														
6	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/106.png	0	0	1.2	1	0	0	0.9	0.9	-220	20	50	-180	200	700	520	700	360	800														
7	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/107.png	0	0	1.2	1	0	0	1.1	1.1	-250	16	50	-180	200	700	520	700	360	800														
8	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/108.png	0	0	1.2	1	0	0	1.1	1.1	-220	18	50	-180	200	700	520	700	360	800														
9	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/109.png	0	0	1.2	1	0	0	1	1	-260	16	50	-180	200	700	520	700	360	800														
10	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/110.png	0	0	1.5	1.2	0	0	1	1	-190	5	40	-80	200	750	520	750																
11	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/111.png	0	0	1.2	1	0	0	1	1	-240	16	50	-180	200	700	520	700	360	800														
12	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/112.png	0	0	1.4	1	0	0	1	1	-240	8	50	-180	200	750	520	750																
13	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/113.png	0	0	1.4	1	0	0	1	1	-300	8	50	-200	200	750	520	750																
14	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/114.png	0	0	1.3	1	0	0	0.8	0.8	-260	12	50	-180	200	750	520	750																
15	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/115.png	0	0	1.3	1	0	0	0.7	0.7	-250	12	50	-180	200	750	520	750																
16	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/116.png	0	0	1.5	1	0	0	0.7	0.7	-250	15	50	-200	220	750	500	750																
17	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/117.png	0	0	1	1	0	0	0.5	0.5	-260	15	50	-180	200	700	520	700	360	800														
18	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/118.png	0	-10	1	1	0	0	0.5	0.5	-250	20	50	-180	200	700	520	700	360	800														
19	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/119.png	0	0	1	1	0	0	0.7	0.7	-220	25	50	-160	200	700	520	700	360	800														
20	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/120.png	0	0	1.2	1	0	0	0.4	0.4	-230	20	50	-180	200	700	520	700	360	800														
21	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/121.png	0	0	1.2	1	0	0	0.7	0.7	-260	25	50	-180	200	700	520	700	360	800														
22	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/122.png	0	0	1	1	0	0	0.8	0.8	-210	20	30	-160	200	700	520	700	360	800														
23	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh01.png	0	0	1.2	1	0	0	0.7	0.7	-260	25	50	-180	200	750	520	750																
24	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh02.png	0	0	1.2	1	-13	0	0.35	0.35	-240	30	30	-160	200	700	520	700	360	800														
25	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh03.png	5	0	1.2	1	5	0	0.35	0.35	-240	30	50	-160	200	700	520	700	360	800														
26	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh04.png	16	0	1	1	18	0	0.35	0.35	-240	33	30	-160	200	700	520	700	360	800														
27	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh05.png	0	0	1.5	1	0	0	0.6	0.6	-240	8	50	-180	200	750	520	750																
28	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh06.png	0	0	1.5	1	0	0	0.6	0.6	-240	8	50	-180	200	750	520	750																
29	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh07.png	0	0	1	1	28	0	0.5	0.5	-200	25	30	-140	200	700	520	700	360	800														
30	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh08.png	5	0	1.3	1.2	0	0	0.7	0.7	-380	15	50	-300	200	700	520	700																
31	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh09.png	0	0	1.3	1.2	0	0	0.9	0.9	-320	18	50	-220	200	750	520	750																
32	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh10.png	0	0	1.5	1	0	0	0.6	0.6	-220	10	-20	-140	200	750	520	750																
33	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh11.png	0	0	1.1	1	0	0	0.6	0.6	-280	18	50	-180	200	750	520	750																
34	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh12.png	0	0	1.5	1	0	0	0.55	0.55	-220	5	-20	-140	200	750	520	750																
35	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh13.png	0	0	1.2	1	0	0	0.4	0.4	-250	20	50	-180	200	700	520	700	360	800														
36	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh14.png	0	0	0.8	1	0	0	0.55	0.55	-230	30	50	-180	200	700	520	700	360	800														
37	http://zww.ooxxp.com/zwwimg/h5jyzwwimg/Dolls/wh15.png	0	0	1.2	1	40	0	0.7	0.7	-310	30	50	-270	180	750	480	750																
