$商品ID	商品名字	图片					真实价值		
#goods_id	name	img	describe	price	detail	type	value	show_main	show_type
999	10元红包	http://zww.ooxxp.com/zwwimg/jf_hb001.png	（参考价：10元）	1500	http://zww.ooxxp.com/mall/detail_999.html	HB	1000	1	hongbao
1000	电信话费卡2元	http://zww.ooxxp.com/zwwimg/jf_jx015.png	（参考价：2元）	240	http://zww.ooxxp.com/mall/detail_1039.html	HF	2	1	jinxuan
1001	移动话费卡3元	http://zww.ooxxp.com/zwwimg/jf_jx017.png	（参考价：3元）	360	http://zww.ooxxp.com/mall/detail_1041.html	HF	3	1	jinxuan
1002	联通话费卡3元	http://zww.ooxxp.com/zwwimg/jf_jx019.png	（参考价：3元）	360	http://zww.ooxxp.com/mall/detail_1043.html	HF	3	1	jinxuan
1003	京东E卡50元	http://zww.ooxxp.com/zwwimg/jf_jx001.png	（参考价：50元）	5000	http://zww.ooxxp.com/mall/detail_1000.html	JD	50	1	jinxuan
1004	京东E卡100元	http://zww.ooxxp.com/zwwimg/jf_jx002.png	（参考价：100元）	10000	http://zww.ooxxp.com/mall/detail_1001.html	JD	100	1	jinxuan
1005	京东E卡200元	http://zww.ooxxp.com/zwwimg/jf_jx003.png	（参考价：200元）	20000	http://zww.ooxxp.com/mall/detail_1002.html	JD	200	1	jinxuan
1006	电信话费卡5元	http://zww.ooxxp.com/zwwimg/jf_jx016.png	（参考价：5元）	600	http://zww.ooxxp.com/mall/detail_1040.html	HF	5	1	jinxuan
1007	电信话费卡10元	http://zww.ooxxp.com/zwwimg/jf_jx004.png	（参考价：10元）	1200	http://zww.ooxxp.com/mall/detail_1003.html	HF	10	1	jinxuan
1008	电信话费卡30元	http://zww.ooxxp.com/zwwimg/jf_jx005.png	（参考价：30元）	3600	http://zww.ooxxp.com/mall/detail_1004.html	HF	30	1	jinxuan
1009	电信话费卡50元	http://zww.ooxxp.com/zwwimg/jf_jx006.png	（参考价：50元）	6000	http://zww.ooxxp.com/mall/detail_1005.html	HF	50	1	jinxuan
1010	移动话费卡5元	http://zww.ooxxp.com/zwwimg/jf_jx018.png	（参考价：5元）	600	http://zww.ooxxp.com/mall/detail_1042.html	HF	5	1	jinxuan
1011	移动话费卡30元	http://zww.ooxxp.com/zwwimg/jf_jx007.png	（参考价：30元）	3600	http://zww.ooxxp.com/mall/detail_1006.html	HF	30	1	jinxuan
1012	移动话费卡50元	http://zww.ooxxp.com/zwwimg/jf_jx008.png	（参考价：50元）	6000	http://zww.ooxxp.com/mall/detail_1007.html	HF	50	1	jinxuan
