$ID	小时	场次1	场次2	场次3	场次4
#id	hid	room_31	room_32	room_33	room_34
1	1	1400-1750	1100-1500	1000-1400	500-800
2	2	900-1200	750-1000	700-900	350-550
3	3	900-1200	750-1000	700-900	350-550
4	4	900-1200	750-1000	700-900	350-550
5	5	900-1200	750-1000	700-900	350-550
6	6	900-1200	750-1000	700-900	350-550
7	7	900-1200	750-1000	700-900	350-550
8	8	900-1200	750-1000	700-900	350-550
9	9	900-1200	750-1000	700-900	350-550
10	10	1400-1750	1100-1500	1000-1400	500-800
11	11	1400-1750	1100-1500	1000-1400	500-800
12	12	1400-1750	1100-1500	1000-1400	500-800
13	13	1400-1750	1100-1500	1000-1400	500-800
14	14	1400-1750	1100-1500	1000-1400	500-800
15	15	1400-1750	1100-1500	1000-1400	500-800
16	16	1400-1750	1100-1500	1000-1400	500-800
17	17	1400-1750	1100-1500	1000-1400	500-800
18	18	1400-1750	1100-1500	1000-1400	500-800
19	19	2800-3500	2200-3000	2000-2800	1000-1600
20	20	2800-3500	2200-3000	2000-2800	1000-1600
21	21	2800-3500	2200-3000	2000-2800	1000-1600
22	22	2800-3500	2200-3000	2000-2800	1000-1600
23	23	2800-3500	2200-3000	2000-2800	1000-1600
24	24	1400-1750	1100-1500	1000-1400	500-800
