$编号	名字	图片	资源下载地址	价格	抓这个娃娃给玩家的积分	概率分子	概率分母	付费概率	模型文件	材质				碰撞体	缩放	质量	摩擦力	滚动摩擦力	撞击摩擦力	线性阻尼	角阻尼	模型个数	抽奖游戏类型	游戏场次
#id	name	img	resURL	price	score	numerator	denominator	pay_prob	c3b	material	ambient	diffuseUpper	diffuseLower	collider	scale	mass	friction	rollFriction	hitFriction	linearDamping	angularDamping	modelCnt	gameType	gameId
1	粉红豹	http://zww.ooxxp.com/zwwimg/101.png	http://zww.ooxxp.com/dolls/output/1/	9	18	1	200	10,200	1.c3b	1.mtl	1.15,1.15,1.15	0.1,0.1,0.1	0.6,0.6,0.6	phy_1_collider	0.041	10	30	15	1	0.3	0.3			
2	龙猫沐浴擦(代抓)	http://zww.ooxxp.com/zwwimg/102.png	http://zww.ooxxp.com/dolls/output/2/	9	18	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
3	KT沐浴擦(代抓)	http://zww.ooxxp.com/zwwimg/103.png	http://zww.ooxxp.com/dolls/output/3/	9	18	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
4	哆啦A梦	http://zww.ooxxp.com/zwwimg/104.png	http://zww.ooxxp.com/dolls/output/4/	9	18	1	200	10,200	4.c3b	4.mtl	0.84,0.84,0.84	0.5,0.5,0.5	0.85,0.85,0.85	phy_4_collider	0.041	10	30	15	1	0.3	0.3			
5	变装布朗熊	http://zww.ooxxp.com/zwwimg/105.png	http://zww.ooxxp.com/dolls/output/5/	9	18	1	200	9,200	5.c3b	5.mtl	0.94,0.94,0.94	0.35,0.35,0.35	0.7,0.7,0.7	phy_5_collider	0.041	10	30	15	1	0.3	0.3			
6	龙猫	http://zww.ooxxp.com/zwwimg/106.png	http://zww.ooxxp.com/dolls/output/6/	9	18	1	200	8,200	6.c3b	6.mtl	1,1,1	0.6,0.6,0.6	1,1,1	phy_6_collider	0.04	10	30	15	1	0.3	0.3			
7	小布朗熊	http://zww.ooxxp.com/zwwimg/107.png	http://zww.ooxxp.com/dolls/output/7/	9	18	1	200	10,200	7.c3b	7.mtl	1,1,1	0.4,0.4,0.4	0.65,0.65,0.65	phy_7_collider	0.045	10	30	15	1	0.3	0.3			
8	QQ企鹅公仔	http://zww.ooxxp.com/zwwimg/108.png	http://zww.ooxxp.com/dolls/output/8/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
9	超萌猫爪拖鞋(代抓)	http://zww.ooxxp.com/zwwimg/109.png	http://zww.ooxxp.com/dolls/output/9/	9	18	1	200	6,200	25.c3b	25.mtl	0.95,0.95,0.95	0.32,0.32,0.32	0.4,0.4,0.4	phy_25_collider	0.042	10	30	15	1	0.3	0.3			
10	粉色小羊纸巾抽(代抓)	http://zww.ooxxp.com/zwwimg/110.png	http://zww.ooxxp.com/dolls/output/10/	9	18	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
