$档位ID	档位	名称	红包价值	前两次概率	概率1	概率2	概率3	弱爪数
#id	gear	name	redbag	first_rate	rate_1	rate_2	rate_3	weak_time
1	1	0.3元红包	25-35	0	17	16	16	2
2	1	0.5元红包	45-55	0	25	22	25	1
3	1	0.8元红包	75-85	0	30	25	30	0
4	1	1.2元红包	115-125	50	28	25	20	0
5	1	1.5元红包	140-160	50	0	6	6	0
6	1	2元红包	180-220	0	0	3	3	0
7	1	5元红包	450-550	0	0	2	0	0
8	1	10元红包	900-1100	0	0	1	0	0
9	2	1元红包	90-110	0	45	26	45	0
10	2	1.5元红包	140-160	0	20	27	20	0
11	2	2.4元红包	220-260	0	15	18	15	0
12	2	3.6元红包	330-390	50	13	18	13	0
13	2	4.5元红包	410-490	50	7	8	5	0
14	2	30元红包	2800-3200	0	0	3	2	0
15	3	1元红包	90-110	0	45	28	40	0
16	3	2.5元红包	230-270	0	20	24	20	0
17	3	4元红包	360-440	0	15	18	15	0
18	3	6元红包	540-660	50	13	12	12	0
19	3	7.5元红包	680-820	50	7	8	6	0
20	3	10元红包	900-1000	0	0	5	4	0
21	3	20元红包	1800-2200	0	0	3	2	0
22	3	50元红包	4500-5500	0	0	2	1	0
