$									抓这个娃娃给玩家的积分	兑换这个娃娃获得的积分		概率分子	概率分母	是否隐藏显示	娃娃价值	付费概率	显示平台	隐藏平台	自动兑换类型[金币gold积分score红包redbag]	自动兑换值	显示时间	信鸽推送tag	原价显示
#toy_id	name	roomname	img	ds_img	price	type_push	type_show	replace	score	exchange_score	order	numerator	denominator	hide	value	pay_prob	in_plat	out_plat	auto_type	auto_val	show_time	push_tag	original_price
1	粉红豹	粉红豹(30CM)	http://zww.ooxxp.com/zwwimg/101.png	http://zww.ooxxp.com/bigimg/101d1.jpg,http://zww.ooxxp.com/bigimg/101d2.jpg,http://zww.ooxxp.com/bigimg/101d3.jpg	9	1	gongzai	0	18	900	1000	1	200	0	1125	10,200						rezhua,nan,nv,19	
2	龙猫沐浴擦	龙猫沐浴擦	http://zww.ooxxp.com/zwwimg/102.png	http://zww.ooxxp.com/bigimg/102d1.jpg,http://zww.ooxxp.com/bigimg/102d2.jpg,http://zww.ooxxp.com/bigimg/102d3.jpg	9	2	xianshi	0	18	0	1000	1	200	0	850	12,200						nan,nv,9	19
3	KT沐浴擦	Hello kitty沐浴擦	http://zww.ooxxp.com/zwwimg/103.png	http://zww.ooxxp.com/bigimg/103d1.jpg,http://zww.ooxxp.com/bigimg/103d2.jpg,http://zww.ooxxp.com/bigimg/103d3.jpg	9	2	xianshi	0	18	0	1000	1	200	0	850	12,200						nan,nv,9	19
4	哆啦A梦	哆啦A梦(20CM)	http://zww.ooxxp.com/zwwimg/104.png	http://zww.ooxxp.com/bigimg/104d1.jpg,http://zww.ooxxp.com/bigimg/104d2.jpg,http://zww.ooxxp.com/bigimg/104d3.jpg	9	1	rezhua	0	18	810	1000	1	200	0	1015	10,200						hongbao,rezhua,nan,nv,9	
5	变装布朗熊	变装布朗熊(随机发货)	http://zww.ooxxp.com/zwwimg/105.png	http://zww.ooxxp.com/bigimg/105d1.jpg,http://zww.ooxxp.com/bigimg/105d2.jpg,http://zww.ooxxp.com/bigimg/105d3.jpg	9	2	gongzai	0	18	900	1000	1	200	0	1125	9,200						rezhua,nan,nv,19	
6	龙猫	龙猫25CM(代抓)	http://zww.ooxxp.com/zwwimg/106.png	http://zww.ooxxp.com/bigimg/106d1.jpg,http://zww.ooxxp.com/bigimg/106d2.jpg,http://zww.ooxxp.com/bigimg/106d3.jpg	9	2	xianshi	1	18	0	1000	1	200	0	1345	8,200							19
7	小布朗熊	小布朗熊20CM	http://zww.ooxxp.com/zwwimg/107.png	http://zww.ooxxp.com/bigimg/107d1.jpg,http://zww.ooxxp.com/bigimg/107d2.jpg,http://zww.ooxxp.com/bigimg/107d3.jpg	9	2	xianshi	0	18	0	1000	1	200	0	850	10,200						nan,nv,9	19
8	QQ企鹅公仔	经典QQ企鹅公仔	http://zww.ooxxp.com/zwwimg/108.png	http://zww.ooxxp.com/bigimg/108d1.jpg,http://zww.ooxxp.com/bigimg/108d2.jpg,http://zww.ooxxp.com/bigimg/108d3.jpg	9	2	xianshi	0	18	0	1000	1	200	0	1785	6,200						rezhua,nan,nv,19	19
9	超萌猫爪拖鞋	超萌猫爪拖鞋(代抓)	http://zww.ooxxp.com/zwwimg/109.png	http://zww.ooxxp.com/bigimg/109d1.jpg,http://zww.ooxxp.com/bigimg/109d2.jpg,http://zww.ooxxp.com/bigimg/109d3.jpg	9	1	xianshi	1	18	0	1000	1	200	0	2060	6,200						hongbao,nan,nv,99	19
