$							这个房间同时最大人数	显示个数	辅助瞄准
#room_id	toy_id	live_id	img	price	camare_front	camare_size	max_num	show_cnt	aim_offset
150000	302	10101		9	dgjlb4_10101_front	dgjlb4_10101_size	20	2	-24,2
150001	303	10101		9	dgjlb4_10101_front	dgjlb4_10101_size	20	2	-24,2
150002	304	10101		9	dgjlb4_10101_front	dgjlb4_10101_size	20	2	-24,2
150003	305	10101		9	dgjlb4_10101_front	dgjlb4_10101_size	20	2	-24,2
150004	1	10101		9	dgjlb4_10101_front	dgjlb4_10101_size	20	2	-24,2
150005	280	10102		9	dgjlb4_10102_front	dgjlb4_10102_size	20	2	-24,0
150006	281	10103		9	dgjlb4_10103_front	dgjlb4_10103_size	20	2	-30,-2
150007	4	10104		9	dgjlb4_10104_front	dgjlb4_10104_size	20	2	-22,-4
150008	306	10104		9	dgjlb4_10104_front	dgjlb4_10104_size	20	2	-22,-4
150009	307	10104		9	dgjlb4_10104_front	dgjlb4_10104_size	20	2	-22,-4
150010	308	10104		9	dgjlb4_10104_front	dgjlb4_10104_size	20	2	-22,-4
150011	283	10105		9	dgjlb4_10105_front	dgjlb4_10105_size	20	2	-21,-2
150012	21	10209		9	dgjlb4_10209_front	dgjlb4_10209_size	20	2	-30,-2
150013	309	10209		9	dgjlb4_10209_front	dgjlb4_10209_size	20	2	-30,-2
150014	310	10209		9	dgjlb4_10209_front	dgjlb4_10209_size	20	2	-30,-2
150015	311	10209		9	dgjlb4_10209_front	dgjlb4_10209_size	20	2	-30,-2
150016	312	10710		9	dgjlb4_10710_front	dgjlb4_10710_size	20	2	-36,0
150017	329	10710		9	dgjlb4_10710_front	dgjlb4_10710_size	20	2	-36,0
150018	255	11001		9	dgjlb4_11001_front	dgjlb4_11001_size	20	2	-40,-2
150019	171	11118		9	dgjlb4_11118_front	dgjlb4_11118_size	20	2	-25,9
150020	186	11201		9	dgjlb4_11201_front	dgjlb4_11201_size	20	2	-30,5
150021	110	11201		9	dgjlb4_11201_front	dgjlb4_11201_size	20	2	-30,5
150022	10	11201		9	dgjlb4_11201_front	dgjlb4_11201_size	20	2	-30,5
150023	67	11201		9	dgjlb4_11201_front	dgjlb4_11201_size	20	2	-30,5
150024	20	11201		9	dgjlb4_11201_front	dgjlb4_11201_size	20	2	-30,5
150025	258	11201		9	dgjlb4_11201_front	dgjlb4_11201_size	20	2	-30,5
150026	257	11201		9	dgjlb4_11201_front	dgjlb4_11201_size	20	2	-30,5
150027	246	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150028	112	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150029	75	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
150030	72	11202		9	dgjlb4_11202_front	dgjlb4_11202_size	20	2	-37,4
