$档位ID	档位	名称	1号球	2号球	3号球	前两次概率	概率1	概率2	概率3
#id	gear	name	one	two	three	first_rate	rate_1	rate_2	rate_3
1	1	0.3元红包	1-9	2-3	0	0	16	17	14
2	1	0.5元红包	1-9	4-5	0	0	26	25	24
3	1	0.8元红包	1-9	7-8	0	0	30	30	30
4	1	1.2元红包	1-9	1-2	1-1	50	20	28	20
5	1	1.5元红包	1-9	4-5	1-1	50	5	0	6
6	1	2元红包	1-9	1-2	2-2	0	3	0	3
7	1	5元红包	1-9	1-2	5-5	0	0	0	2
8	1	10.5元红包	1-9	1-9	9-11	0	0	0	1
9	2	0.7元红包	1-9	5-9	0	0	65	70	50
10	2	3.6元红包	1-9	3-8	3-3	50	16	19	22
11	2	4.5元红包	1-9	1-9	4-4	50	9	5	14
12	2	5.5元红包	1-9	1-9	5-5	0	5	3	5
13	2	6.5元红包	1-9	1-9	6-6	0	2	2	5
14	2	10.5元红包	1-9	1-9	9-11	0	1	1	2
15	2	15.5元红包	1-9	1-9	14-16	0	1	0	1
16	2	30元红包	1-9	1-9	28-32	0	1	0	1
17	3	0.7元红包	1-9	5-9	0	0	60	70	48
18	3	6.5元红包	1-9	1-9	6-6	50	15	9	20
19	3	7.5元红包	1-9	1-9	7-7	50	10	8	10
20	3	8.5元红包	1-9	1-9	8-8	0	5	5	10
21	3	9.5元红包	1-9	1-9	9-9	0	5	5	6
22	3	10.5元红包	1-9	1-9	9-11	0	3	2	3
23	3	20.5元红包	1-9	1-9	18-22	0	1	1	2
24	3	50.5元红包	1-9	1-9	45-55	0	1	0	1
